Title,Genre,Studio,Total Gross,Theaters,Opening Gross,Open Date
Paper Towns,Drama,Fox,"$32,000,304.00 ",3031,"$12,650,140.00 ",7/24/15
Chappie,Sci-Fi Action,Sony,"$31,569,268.00 ",3201,"$13,346,782.00 ",3/6/15
Crimson Peak,Horror,Uni.,"$31,090,320.00 ",2991,"$13,143,310.00 ",10/16/15
A Walk in the Woods,Comedy,BG,"$29,504,281.00 ",2158,"$8,246,267.00 ",9/2/15
Point Break (2015),Action,WB,"$28,782,481.00 ",2910,"$9,800,252.00 ",12/25/15
Sinister 2,Horror,Focus,"$27,740,955.00 ",2799,"$10,542,116.00 ",8/21/15
The Last Witch Hunter,Action Fantasy,LG/S,"$27,367,660.00 ",3082,"$10,812,861.00 ",10/23/15
No Escape,Action,Wein.,"$27,288,872.00 ",3415,"$8,111,264.00 ",8/26/15
Ricki and the Flash,Comedy / Drama,TriS,"$26,822,144.00 ",2064,"$6,610,961.00 ",8/7/15
The Woman in Black 2: Angel of Death,Horror,Rela.,"$26,501,323.00 ",2602,"$15,027,415.00 ",1/2/15
Run All Night,Action,WB,"$26,461,644.00 ",3171,"$11,012,305.00 ",3/13/15
Love the Coopers,Comedy,LGF,"$26,302,731.00 ",2603,"$8,317,545.00 ",11/13/15
The Lazarus Effect,Horror,Rela.,"$25,801,047.00 ",2666,"$10,203,437.00 ",2/27/15
Ex Machina,Sci-Fi Thriller,A24,"$25,442,958.00 ",2004,"$237,264.00 ",4/10/15
In the Heart of the Sea,Drama,WB,"$25,020,758.00 ",3103,"$11,053,366.00 ",12/11/15
The Gallows,Horror,WB (NL),"$22,764,410.00 ",2720,"$9,808,463.00 ",7/10/15
Hitman: Agent 47,Action / Adventure,Fox,"$22,467,450.00 ",3273,"$8,326,530.00 ",8/21/15
Project Almanac,Sci-Fi,Par.,"$22,348,241.00 ",2900,"$8,310,252.00 ",1/30/15
Black or White,Drama,Rela.,"$21,571,189.00 ",1823,"$6,213,362.00 ",1/30/15
Aloha,Comedy / Drama,Sony,"$21,067,116.00 ",2815,"$9,670,235.00 ",5/29/15
